Date,O,H,L,C,50_MA
2025-01-28 11:20:00,1.04352,1.04368,1.04337,1.0434,1.0435338
2025-01-28 11:25:00,1.04341,1.04422,1.04341,1.04415,1.0435438000000001
2025-01-28 11:30:00,1.04411,1.04443,1.04411,1.04424,1.0435557999999998
2025-01-28 11:35:00,1.04421,1.04436,1.04398,1.0441,1.0435622
2025-01-28 11:40:00,1.0441,1.04427,1.04405,1.04406,1.043566
2025-01-28 11:45:00,1.04406,1.04413,1.04344,1.0436,1.0435628
2025-01-28 11:50:00,1.04361,1.04368,1.04322,1.04341,1.0435566
2025-01-28 11:55:00,1.04341,1.0436,1.04323,1.0435,1.0435526
2025-01-28 12:00:00,1.04346,1.0437,1.04319,1.04348,1.043546
2025-01-28 12:05:00,1.04345,1.04359,1.04316,1.04338,1.043541
2025-01-28 12:10:00,1.04339,1.04366,1.04328,1.04344,1.0435292
2025-01-28 12:15:00,1.04344,1.04367,1.04304,1.04308,1.0435088000000001
2025-01-28 12:20:00,1.04307,1.0432,1.04294,1.04315,1.0434868
2025-01-28 12:25:00,1.04314,1.04338,1.04302,1.04315,1.0434636
2025-01-28 12:30:00,1.04314,1.04335,1.04302,1.04331,1.0434474
2025-01-28 12:35:00,1.04334,1.04349,1.04326,1.04336,1.0434298
2025-01-28 12:40:00,1.04335,1.0435699999999999,1.04317,1.04342,1.0434139999999998
2025-01-28 12:45:00,1.04342,1.04342,1.04299,1.04302,1.0433941999999998
2025-01-28 12:50:00,1.04303,1.04315,1.04249,1.0426,1.0433706
2025-01-28 12:55:00,1.04259,1.0427,1.04249,1.04249,1.0433468
2025-01-28 13:00:00,1.04245,1.04269,1.0424,1.0426,1.0433284
2025-01-28 13:05:00,1.04261,1.04311,1.0426,1.04306,1.0433146
2025-01-28 13:10:00,1.04304,1.04325,1.04294,1.04321,1.0433088
2025-01-28 13:15:00,1.04321,1.04321,1.04276,1.04286,1.0432866
2025-01-28 13:20:00,1.04282,1.04298,1.04276,1.04286,1.0432636
2025-01-28 13:25:00,1.04285,1.0429599999999999,1.04272,1.04277,1.0432401999999998
2025-01-28 13:30:00,1.04277,1.04294,1.04262,1.04262,1.0432138
2025-01-28 13:35:00,1.04262,1.04264,1.04232,1.04245,1.0431802000000001
2025-01-28 13:40:00,1.04245,1.04281,1.04245,1.04258,1.0431565999999999
2025-01-28 13:45:00,1.04257,1.04261,1.04226,1.04257,1.0431446
2025-01-28 13:50:00,1.04257,1.04276,1.04227,1.0427,1.0431362
2025-01-28 13:55:00,1.04267,1.04271,1.04225,1.04233,1.0431176
2025-01-28 14:00:00,1.04232,1.04242,1.04155,1.04175,1.0430898
2025-01-28 14:05:00,1.0417399999999999,1.04195,1.04138,1.04159,1.0430528
2025-01-28 14:10:00,1.04159,1.04215,1.04158,1.04192,1.0430268
2025-01-28 14:15:00,1.0419100000000001,1.04195,1.04144,1.04158,1.0429945999999999
2025-01-28 14:20:00,1.04158,1.04208,1.04154,1.04189,1.0429723999999998
2025-01-28 14:25:00,1.04189,1.04209,1.04186,1.042,1.0429473999999999
2025-01-28 14:30:00,1.042,1.04215,1.0417399999999999,1.04213,1.0429287999999999
2025-01-28 14:35:00,1.04211,1.04224,1.04187,1.04205,1.0429135999999999
2025-01-28 14:40:00,1.04202,1.04229,1.04187,1.04226,1.0428988
2025-01-28 14:45:00,1.04227,1.04238,1.04205,1.04226,1.0428811999999998
2025-01-28 14:50:00,1.04226,1.04255,1.04217,1.04218,1.0428588
2025-01-28 14:55:00,1.04216,1.0423499999999999,1.0417,1.04201,1.0428396
2025-01-28 15:00:00,1.04198,1.04217,1.04185,1.04196,1.042829
2025-01-28 15:05:00,1.04196,1.04217,1.04172,1.04211,1.042821
2025-01-28 15:10:00,1.04215,1.04239,1.04205,1.0423,1.0428162
2025-01-28 15:15:00,1.04232,1.04265,1.04229,1.0423,1.0428001999999998
2025-01-28 15:20:00,1.04232,1.04282,1.04232,1.04278,1.0427906
2025-01-28 15:25:00,1.04278,1.04278,1.0425200000000001,1.0425200000000001,1.0427708
2025-01-28 15:30:00,1.04251,1.04311,1.04247,1.04282,1.0427591999999999
2025-01-28 15:35:00,1.04281,1.04281,1.0424,1.04251,1.0427264
2025-01-28 15:40:00,1.0425200000000001,1.04295,1.0424,1.04292,1.0427000000000002
2025-01-28 15:45:00,1.04293,1.04303,1.04219,1.04225,1.0426630000000001
2025-01-28 15:50:00,1.04224,1.04249,1.04207,1.04242,1.0426302
2025-01-28 15:55:00,1.0424,1.0427,1.0423499999999999,1.04249,1.042608
2025-01-28 16:00:00,1.04246,1.04297,1.04245,1.04253,1.0425904
2025-01-28 16:05:00,1.04253,1.04295,1.0424,1.0425200000000001,1.0425708
2025-01-28 16:10:00,1.04255,1.04299,1.04251,1.04291,1.0425594
2025-01-28 16:15:00,1.0429,1.04314,1.04283,1.0431,1.0425538
2025-01-28 16:20:00,1.04312,1.0434,1.04311,1.04327,1.0425504
2025-01-28 16:25:00,1.0433,1.04346,1.04314,1.04321,1.0425529999999998
2025-01-28 16:30:00,1.04321,1.04375,1.0431,1.04356,1.0425612
2025-01-28 16:35:00,1.04358,1.04409,1.04353,1.04368,1.0425718
2025-01-28 16:40:00,1.04372,1.04382,1.04326,1.04326,1.0425708
2025-01-28 16:45:00,1.04327,1.0434,1.04291,1.04332,1.04257
2025-01-28 16:50:00,1.04332,1.04332,1.04283,1.043,1.0425616
2025-01-28 16:55:00,1.04302,1.04327,1.04297,1.04315,1.0425642000000002
2025-01-28 17:00:00,1.04311,1.04365,1.04311,1.0436,1.0425842
2025-01-28 17:05:00,1.0436,1.04383,1.04351,1.04375,1.0426094000000001
2025-01-28 17:10:00,1.04371,1.04376,1.04332,1.04371,1.0426316
2025-01-28 17:15:00,1.0437400000000001,1.04376,1.04334,1.04341,1.0426385999999999
2025-01-28 17:20:00,1.04342,1.0437400000000001,1.04334,1.0437,1.0426484
2025-01-28 17:25:00,1.04372,1.04377,1.04325,1.04372,1.0426656
2025-01-28 17:30:00,1.04367,1.04394,1.04356,1.0437400000000001,1.0426832
2025-01-28 17:35:00,1.04371,1.04382,1.04347,1.04381,1.042704
2025-01-28 17:40:00,1.0438,1.04381,1.04305,1.0431,1.0427136
2025-01-28 17:45:00,1.04309,1.04322,1.04286,1.04312,1.042727
2025-01-28 17:50:00,1.0431300000000001,1.04321,1.04239,1.04246,1.0427246
2025-01-28 17:55:00,1.04245,1.04258,1.04211,1.0424,1.0427212
2025-01-28 18:00:00,1.04241,1.04291,1.04237,1.04272,1.0427216
2025-01-28 18:05:00,1.04272,1.04311,1.04267,1.0431,1.042737
2025-01-28 18:10:00,1.04308,1.04327,1.04285,1.04286,1.0427591999999999
2025-01-28 18:15:00,1.04286,1.04304,1.04273,1.04281,1.0427836
2025-01-28 18:20:00,1.04276,1.0429,1.0426,1.04283,1.0428018000000001
2025-01-28 18:25:00,1.04282,1.04298,1.0426,1.04271,1.0428244
2025-01-28 18:30:00,1.0427,1.04279,1.04239,1.0425,1.0428366
2025-01-28 18:35:00,1.04251,1.04293,1.0423499999999999,1.04285,1.0428536
2025-01-28 18:40:00,1.04284,1.04305,1.04225,1.04239,1.0428588
2025-01-28 18:45:00,1.04242,1.04268,1.04242,1.0425200000000001,1.0428682
2025-01-28 18:50:00,1.04251,1.04261,1.04225,1.04241,1.0428712
2025-01-28 18:55:00,1.04246,1.04262,1.0423,1.0426,1.042878
2025-01-28 19:00:00,1.0426,1.04277,1.04249,1.04254,1.0428852
2025-01-28 19:05:00,1.04254,1.04287,1.04246,1.04286,1.0429022000000001
2025-01-28 19:10:00,1.04279,1.04287,1.04267,1.04267,1.0429164
2025-01-28 19:15:00,1.04267,1.04276,1.04251,1.04263,1.0429267999999998
2025-01-28 19:20:00,1.04263,1.04287,1.0425200000000001,1.04272,1.0429352
2025-01-28 19:25:00,1.04272,1.04297,1.04271,1.04273,1.0429438
2025-01-28 19:30:00,1.04272,1.04281,1.04257,1.04276,1.0429434
2025-01-28 19:35:00,1.04276,1.04322,1.04276,1.04321,1.0429572
2025-01-28 19:40:00,1.04323,1.04343,1.04304,1.04306,1.042962
2025-01-28 19:45:00,1.04307,1.04322,1.043,1.04307,1.0429732
2025-01-28 19:50:00,1.04307,1.0432,1.04297,1.04305,1.0429758
2025-01-28 19:55:00,1.04306,1.04311,1.04268,1.04278,1.0429864
2025-01-28 20:00:00,1.0428,1.04299,1.04265,1.04295,1.042997
